t_s,x_m,x_dot_ms,duty,trial_id,voltage_v
2.149995,-0.22170612055464867,-0.10134914088807852,-80,4,8.0
2.199996,-0.2267130338463074,-0.10010776869055081,-80,4,8.0
2.249994,-0.23171994713796615,-0.09993482281287071,-80,4,8.0
2.299996,-0.23672686042962487,-0.10014363758853952,-80,4,8.0
2.349996,-0.2417337737212836,-0.10017202874507058,-80,4,8.0
2.399996,-0.24660716932516477,-0.09935430445064866,-80,4,8.0
2.449995,-0.2516808414607123,-0.09895929408013177,-80,4,8.0
2.499995,-0.2567545135962598,-0.1006647803068584,-80,4,8.0
2.550004,-0.26182818573180733,-0.10190054122069678,-80,4,8.0
2.600002,-0.2669686167112436,-0.10199403870954274,-80,4,8.0
2.649995,-0.2722425653784575,-0.10335646258783382,-80,4,8.0
2.699996,-0.27744975520178256,-0.10491239274154354,-80,4,8.0
2.749995,-0.28265694502510763,-0.10467344336493017,-80,4,8.0
2.799998,-0.2879308936923215,-0.10440204158676299,-80,4,8.0
2.849996,-0.29320484235953537,-0.10522459498676531,-80,4,8.0
2.899995,-0.29834527333897165,-0.10488257314827448,-80,4,8.0
2.949996,-0.3036192220061855,-0.10395956591888171,-80,4,8.0
0.0,0.0018692476288859267,0.02189958183069143,-120,5,8.0
0.049999,-0.0038720129455494198,-0.02456047289203197,-120,5,8.0
0.1,-0.011549279992759476,-0.11599220048993103,-120,5,8.0
0.149999,-0.019693858947191015,-0.16707224167655044,-120,5,8.0
0.2,-0.027905196745511337,-0.16859250772026485,-120,5,8.0
0.249999,-0.036383569919386786,-0.16491090651384657,-120,5,8.0
0.3,-0.04459490771770711,-0.16660559962131308,-120,5,8.0
0.349998,-0.052939763203804995,-0.1664568655539226,-120,5,8.0
0.400001,-0.0612178598460141,-0.16577407948126824,-120,5,8.0
0.450009,-0.06956271533211199,-0.16617970181072975,-120,5,8.0
0.500007,-0.07790757081820987,-0.1666825570289295,-120,5,8.0
0.550001,-0.08618566746041897,-0.1666301561303698,-120,5,8.0
0.600001,-0.0943970052587393,-0.16538219355407752,-120,5,8.0
0.65,-0.10254158421317083,-0.16382126747019396,-120,5,8.0
0.7,-0.11068616316760238,-0.16285793344795305,-120,5,8.0
0.75,-0.11903101865370026,-0.16390590854610135,-120,5,8.0
0.800001,-0.12750939182757573,-0.1671969568811928,-120,5,8.0
0.849999,-0.13578748846978483,-0.1685825387621801,-120,5,8.0
0.9,-0.14393206742421635,-0.16567452892535262,-120,5,8.0
0.950007,-0.1520766463786479,-0.16269071624043926,-120,5,8.0
1.000007,-0.1602879841769682,-0.1627907852390908,-120,5,8.0
1.05,-0.16856608081917732,-0.1644907785343207,-120,5,8.0
1.1,-0.1769109363052752,-0.16605048982025478,-120,5,8.0
1.149999,-0.18518903294748432,-0.16653529579998502,-120,5,8.0
1.200001,-0.19326685305802707,-0.16469633242609213,-120,5,8.0
1.249999,-0.20161170854412497,-0.16343898247893487,-120,5,8.0
1.299999,-0.2097562874985565,-0.16453897906201986,-120,5,8.0
1.349999,-0.21796762529687683,-0.16436334898722077,-120,5,8.0
1.4,-0.22604544540741958,-0.16299920028314033,-120,5,8.0
1.450007,-0.233922988986296,-0.16067503065730854,-120,5,8.0
1.500003,-0.24186729140906116,-0.15816994951660132,-120,5,8.0
1.550001,-0.2496780761440488,-0.15740863885619655,-120,5,8.0
1.6,-0.25762237856681397,-0.15745195682729562,-120,5,8.0
1.65,-0.2658337163651343,-0.15992462965855878,-120,5,8.0
1.7,-0.27397829531956586,-0.16343490293157492,-120,5,8.0
1.75,-0.2821228742739974,-0.16379200395298665,-120,5,8.0
1.799999,-0.2902674532284289,-0.16279909825658453,-120,5,8.0
1.85,-0.29834527333897165,-0.16234666842916745,-120,5,8.0
1.899999,-0.3064898522934032,-0.16212524591693805,-120,5,8.0
0.0,0.0024700772238849746,0.028938733133413674,-160,6,8.0
0.049998,-0.0054742251988802145,-0.03455183119225418,-160,6,8.0
0.100001,-0.016022122533307943,-0.15982727499096677,-160,6,8.0
0.149997,-0.026903814087179588,-0.22792872113211204,-160,6,8.0
0.2,-0.037985782172717586,-0.22677160140222527,-160,6,8.0
0.249997,-0.04913450910214436,-0.21977771955221262,-160,6,8.0
0.300007,-0.060149718343793575,-0.22114012275003328,-160,6,8.0
0.350003,-0.07163223949266427,-0.2238975937854451,-160,6,8.0
0.400006,-0.08291448410986861,-0.227194289108013,-160,6,8.0
0.450002,-0.0939964521954066,-0.22594711414795965,-160,6,8.0
0.499997,-0.10501166143705581,-0.22148055746139922,-160,6,8.0
0.549997,-0.1160936295225938,-0.22013527587645723,-160,6,8.0
0.599997,-0.12730911529590938,-0.22206374724897937,-160,6,8.0
0.649998,-0.13845784222533614,-0.22385260530751885,-160,6,8.0
0.699996,-0.14940629262309657,-0.2223487646104025,-160,6,8.0
0.749998,-0.16048826070863456,-0.22008664435213363,-160,6,8.0
0.799999,-0.17163698763806134,-0.22112236180793113,-160,6,8.0
0.849996,-0.18278571456748813,-0.22307705638643685,-160,6,8.0
0.900001,-0.19386768265302612,-0.2229008077228777,-160,6,8.0
0.949999,-0.20514992727023046,-0.2229508565508713,-160,6,8.0
0.999996,-0.21636541304354603,-0.22455388013826433,-160,6,8.0
1.049997,-0.22731386344130644,-0.2233778173089136,-160,6,8.0
1.099996,-0.2381955549951781,-0.21918612589256445,-160,6,8.0
1.149997,-0.24894372886127217,-0.21625740267108207,-160,6,8.0
1.199998,-0.25969190272736625,-0.2150180987353692,-160,6,8.0
1.250017,-0.2707071119690155,-0.21627788455985936,-160,6,8.0
1.300006,-0.28178908005455344,-0.22000308350242723,-160,6,8.0
1.35002,-0.29287104814009146,-0.2221530954446299,-160,6,8.0
1.400006,-0.3038862573817407,-0.22152449060069374,-160,6,8.0
0.0,0.0024700772238849746,0.028938733133413674,-200,7,8.0
0.049996,-0.0075437493594324905,-0.0466782114606461,-200,7,8.0
0.099997,-0.021029035824966676,-0.2012885263797742,-200,7,8.0
0.149993,-0.03464783997827843,-0.28842544198199677,-200,7,8.0
0.199997,-0.048733956038811664,-0.28653010704863396,-200,7,8.0
0.249994,-0.06268655441156733,-0.27705034317678884,-200,7,8.0
0.299997,-0.07677267047210057,-0.2793326556246583,-200,7,8.0
0.350001,-0.0908587865326338,-0.2817299781925424,-200,7,8.0
0.400002,-0.10474462606150069,-0.2809391712102299,-200,7,8.0
0.449995,-0.11869722443425636,-0.27859348564208347,-200,7,8.0
0.5,-0.13285009933867836,-0.27952217966180193,-200,7,8.0
0.549999,-0.14673593886754524,-0.2810820390496669,-200,7,8.0
0.599997,-0.16055501955252335,-0.2785776698132589,-200,7,8.0
0.649996,-0.17457437676916782,-0.2771477930552326,-200,7,8.0
0.700001,-0.1887272516735898,-0.2803050261938193,-200,7,8.0
0.749995,-0.2026130912024567,-0.281721271908436,-200,7,8.0
0.799996,-0.2168327249507675,-0.2808023791299306,-200,7,8.0
0.850001,-0.23078532332352317,-0.2813301412850076,-200,7,8.0
0.900003,-0.2444708863207237,-0.2787303731281995,-200,7,8.0
0.949995,-0.25808969047403546,-0.2735746554009941,-200,7,8.0
0.999995,-0.27197553000290237,-0.2732624879231337,-200,7,8.0
1.049994,-0.2859948872195468,-0.27765838892766564,-200,7,8.0
1.099998,-0.29994748559230244,-0.2804325446198798,-200,7,8.0
1.149994,-0.31396684280894693,-0.28006874884428706,-200,7,8.0
